key,result,diff,opponent
2020-1-AJ,Loss,7,
2020-1-Adam,Win,16,
2020-1-Kev,Loss,22,
2020-1-Ross,Win,28,
2020-10-AJ,Win,10,
2020-10-Adam,Win,4,
2020-10-Kev,Win,17,
2020-10-Ross,Loss,10,
2020-11-AJ,Win,38,
2020-11-Adam,Loss,3,
2020-11-Kev,Loss,37,
2020-11-Ross,Win,34,
2020-12-AJ,Win,5,
2020-12-Adam,Loss,16,
2020-12-Kev,Win,14,
2020-12-Ross,Loss,14,
2020-13-AJ,Loss,24,
2020-13-Adam,Win,4,
2020-13-Kev,Win,30,
2020-13-Ross,Loss,8,
2020-14-AJ,Loss,2,
2020-14-Adam,Loss,8,
2020-14-Kev,Win,22,
2020-14-Ross,Win,18,
2020-15-AJ,Loss,10,
2020-15-Adam,Win,11,
2020-15-Kev,Loss,16,
2020-15-Ross,Loss,14,
2020-2-AJ,Loss,14,
2020-2-Adam,Loss,21,
2020-2-Kev,Win,26,
2020-2-Ross,Loss,35,
2020-3-AJ,Loss,9,
2020-3-Adam,Win,9,
2020-3-Kev,Win,27,
2020-3-Ross,Loss,5,
2020-4-AJ,Loss,14,
2020-4-Adam,Win,18,
2020-4-Kev,Win,3,
2020-4-Ross,Win,24,
2020-5-AJ,Loss,10,
2020-5-Adam,Win,11,
2020-5-Kev,Loss,11,
2020-5-Ross,Loss,10,
2020-6-AJ,Win,3,
2020-6-Adam,Loss,12,
2020-6-Kev,Loss,6,
2020-6-Ross,Loss,4,
2020-7-AJ,Win,10,
2020-7-Adam,Loss,5,
2020-7-Kev,Win,25,
2020-7-Ross,Win,13,
2020-8-AJ,Loss,19,
2020-8-Adam,Loss,1,
2020-8-Kev,Loss,11,
2020-8-Ross,Loss,10,
2020-9-AJ,Win,13,
2020-9-Adam,Loss,20,
2020-9-Kev,Loss,31,
2020-9-Ross,Loss,10,
2021-1-AJ,Win,14,
2021-1-Adam,Win,17,
2021-1-Kev,Win,18,
2021-1-Ross,Loss,2,
2021-10-AJ,Win,6,
2021-10-Adam,Win,23,
2021-10-Kev,Loss,10,
2021-10-Ross,Loss,17,
2021-11-AJ,Loss,37,
2021-11-Adam,Loss,10,
2021-11-Kev,Win,18,
2021-11-Ross,Loss,31,
2021-12-AJ,Loss,19,
2021-12-Adam,Win,25,
2021-12-Kev,Loss,5,
2021-12-Ross,Push,-,at Iowa
2021-13-AJ,Loss,14,
2021-13-Adam,Loss,2,
2021-13-Kev,Win,26,
2021-13-Ross,Win,1,
2021-14-AJ,Win,3,
2021-14-Adam,Loss,3,
2021-14-Kev,Win,3,
2021-14-Ross,Win,12,
2021-15-AJ,Win,13,
2021-15-Adam,Win,21,
2021-15-Kev,Win,11,
2021-15-Ross,Loss,25,
2021-2-AJ,Win,1,
2021-2-Adam,Loss,12,
2021-2-Kev,Win,25,
2021-2-Ross,Loss,14,
2021-3-AJ,Win,2,
2021-3-Adam,Win,15,
2021-3-Kev,Win,9,
2021-3-Ross,Win,1,
